CORREL,CHISQR,INTERSECT,BHATTACHARYYA,EMD,Screen_Transition
0.999999999,4.19E-06,0.999922623,0.000619181722,4.15E-06,0
0.999998629,0.00630435318,0.996694735,0.024983231,0.00505594516,0
0.999999995,1.75E-05,0.999776302,0.00141172768,2.01E-05,0
0.999999999,2.77E-06,0.999947278,0.000505538086,2.77E-06,0
0.999999998,1.47E-06,0.999907577,0.000369657946,1.48E-06,0
0.999999999,3.00E-06,0.999929551,0.00086459214,5.19E-06,0
0.999998781,0.00522282568,0.99658957,0.0248492629,0.00490694274,0
0.999999988,0.000301706892,0.999722694,0.00856666672,0.000454213188,0
0.999999997,0.00015656335,0.999776955,0.00862869595,0.000429973236,0
0.999999995,0.00018698343,0.999793517,0.00827490588,0.000409542769,0
0.999999984,0.000177330632,0.99973727,0.00805575913,0.000398220439,0
0.999999394,0.0239062907,0.997185821,0.0235059179,0.00418737646,0
0.999999895,0.00102056966,0.999653551,0.0167260048,0.00179007471,0
0.999999991,0.000591460198,0.999349284,0.0129771169,0.00108647942,0
0.999999984,0.000594052124,0.99945004,0.0145427485,0.00130093978,0
0.99999999,0.000736727247,0.999411795,0.0148304509,0.00135200881,0
0.999998925,0.0341536435,0.995615271,0.0348731027,0.00922944476,0
0.999999996,0.000434703662,0.999624798,0.0124394676,0.000940123848,0
0.999999998,0.000320834965,0.999676329,0.0114144273,0.000780719334,0
0.999999993,0.000505188395,0.999466011,0.0132517696,0.00107314589,0
0.999999988,0.000440732853,0.999589492,0.0112117603,0.000813349774,0
0.999998575,0.00948290481,0.995649554,0.0316736371,0.00742582835,0
0.999999997,0.000334081272,0.999615439,0.0119445397,0.000853217457,0
0.999999997,0.000482185434,0.999562673,0.012845431,0.00101496461,0
0.999999991,0.000621388419,0.999538841,0.0136216799,0.00116250504,0
0.999999986,0.000342560444,0.999870595,0.00885493675,0.000506786587,0
0.999998116,0.00271485967,0.997010604,0.0222258449,0.00357581352,0
0.999999987,0.000359782698,0.999665921,0.01013237,0.000658511404,0
0.99999999,0.000371866956,0.999694695,0.0103006783,0.00065902779,0
0.999999998,1.88E-05,0.999908796,0.00167677996,2.32E-05,0
0.999999996,6.39E-05,0.999905066,0.00578925818,0.000203388951,0
0.999998601,0.0134987385,0.99560157,0.0300248653,0.00688700813,0
0.999999998,0.000188937442,0.999753242,0.00845640302,0.000428995314,0
0.999999997,7.76E-05,0.99989466,0.00520084627,0.000165280783,0
0.999999997,1.82E-05,0.999939988,0.00275227894,4.58E-05,0
0.999999989,3.59E-05,0.999924109,0.00343078649,7.67E-05,0
0.999998739,0.0051104613,0.99639541,0.0256800015,0.00522175919,0
0.999999994,5.71E-05,0.999816774,0.00459249847,0.000138366219,0
0.999999997,0.000114468195,0.999777305,0.00655573539,0.000266755468,0
0.999999988,0.00035274184,0.999627726,0.0100855225,0.000659678969,0
0.999999994,0.000166945872,0.999598001,0.00669236469,0.000291646077,0
0.999999771,0.00120076559,0.998107152,0.015015453,0.00161396208,0
0.999999998,6.87E-05,0.999890319,0.00521976302,0.000170062093,0
0.999999964,0.000387537502,0.999897044,0.0118925352,0.000888841214,0
0.999999968,0.000764630372,0.999610829,0.0144944553,0.00135560421,0
0.999999992,0.000443360835,0.999637143,0.0111469463,0.000799702219,0
0.999999306,0.00254407457,0.996456437,0.0223637634,0.00353304551,0
0.999999983,0.000309295138,0.999770945,0.00977054397,0.000614754173,0
0.999999998,0.000439335883,0.999564776,0.0123707978,0.000953132593,0
0.999999935,0.0004409983,0.999602732,0.011179726,0.000788927125,0
0.999999977,0.000233205129,0.999781674,0.00678053458,0.000332907457,0
0.999999882,0.00238715365,0.997540118,0.0219741375,0.00341125491,0
0.999999958,0.000281399123,0.99975179,0.0077550397,0.00043469726,0
0.999999646,0.00181205161,0.999792933,0.0156355596,0.00177689974,0
0.999999988,0.000549288983,0.999407749,0.01256749,0.00102255002,0
0.999999993,0.000355753382,0.999489307,0.0104188133,0.000706431452,0
0.99999884,0.00594934178,0.995092454,0.0289691674,0.00624169018,0
0.999999998,0.000217626629,0.999682846,0.00834378928,0.000436717237,0
0.999999982,0.000762155585,0.999415163,0.0101426701,0.000745070927,0
0.999999998,0.000224453925,0.999722137,0.00873708017,0.000492291865,0
0.999999997,0.00036086067,0.999570475,0.0107012563,0.000724417445,0
0.999998436,0.0065989703,0.996407971,0.0266985716,0.00542486797,0
1,5.22E-06,0.999989206,0.000752847194,4.67E-06,0
1,0,0.999999835,0,0,0
0.999999998,0.000169329221,0.999756001,0.00652188659,0.000287206721,0
0.999999997,1.82E-05,0.999854789,0.00139859615,1.99E-05,0
0.999999597,0.0029874638,0.99723816,0.0223910088,0.00364729122,0
0.999999997,0.000243874507,0.999619676,0.00936492231,0.000551761708,0
0.999999992,0.000638139887,0.999338964,0.0135298841,0.00117270489,0
